Datetime,time,hour,min,24-hour,18-hour,12-hour,6-hour,3-hour,2-hour,60-min,30-min,15-min,10-min,5-min
1/1/2000 0:00,0,0,0,0.00101,,,,,,,,,,
1/1/2000 0:06,0.1,0,6,0.00202,,,,,,,,,,
1/1/2000 0:12,0.2,0,12,0.00305,,,,,,,,,,
1/1/2000 0:18,0.3,0,18,0.00408,,,,,,,,,,
1/1/2000 0:24,0.4,0,24,0.00513,,,,,,,,,,
1/1/2000 0:30,0.5,0,30,0.00618,,,,,,,,,,
1/1/2000 0:36,0.6,0,36,0.00725,,,,,,,,,,
1/1/2000 0:42,0.7,0,42,0.00832,,,,,,,,,,
1/1/2000 0:48,0.8,0,48,0.00941,,,,,,,,,,
1/1/2000 0:54,0.9,0,54,0.0105,,,,,,,,,,
1/1/2000 1:00,1,1,0,0.01161,,,,,,,,,,
1/1/2000 1:06,1.1,1,6,0.01272,,,,,,,,,,
1/1/2000 1:12,1.2,1,12,0.01385,,,,,,,,,,
1/1/2000 1:18,1.3,1,18,0.01498,,,,,,,,,,
1/1/2000 1:24,1.4,1,24,0.01613,,,,,,,,,,
1/1/2000 1:30,1.5,1,30,0.01728,,,,,,,,,,
1/1/2000 1:36,1.6,1,36,0.01845,,,,,,,,,,
1/1/2000 1:42,1.7,1,42,0.01962,,,,,,,,,,
1/1/2000 1:48,1.8,1,48,0.02081,,,,,,,,,,
1/1/2000 1:54,1.9,1,54,0.022,,,,,,,,,,
1/1/2000 2:00,2,2,0,0.02321,,,,,,,,,,
1/1/2000 2:06,2.1,2,6,0.02442,,,,,,,,,,
1/1/2000 2:12,2.2,2,12,0.02565,,,,,,,,,,
1/1/2000 2:18,2.3,2,18,0.02688,,,,,,,,,,
1/1/2000 2:24,2.4,2,24,0.02813,,,,,,,,,,
1/1/2000 2:30,2.5,2,30,0.02938,,,,,,,,,,
1/1/2000 2:36,2.6,2,36,0.03065,,,,,,,,,,
1/1/2000 2:42,2.7,2,42,0.03192,0.00137,,,,,,,,,
1/1/2000 2:48,2.8,2,48,0.03321,0.00275,,,,,,,,,
1/1/2000 2:54,2.9,2,54,0.0345,0.00414,,,,,,,,,
1/1/2000 3:00,3,3,0,0.03581,0.00555,,,,,,,,,
1/1/2000 3:06,3.1,3,6,0.03712,0.00695,,,,,,,,,
1/1/2000 3:12,3.2,3,12,0.03845,0.00838,,,,,,,,,
1/1/2000 3:18,3.3,3,18,0.03978,0.00981,,,,,,,,,
1/1/2000 3:24,3.4,3,24,0.04113,0.01126,,,,,,,,,
1/1/2000 3:30,3.5,3,30,0.04248,0.01272,,,,,,,,,
1/1/2000 3:36,3.6,3,36,0.04385,0.01419,,,,,,,,,
1/1/2000 3:42,3.7,3,42,0.04522,0.01566,,,,,,,,,
1/1/2000 3:48,3.8,3,48,0.04661,0.01716,,,,,,,,,
1/1/2000 3:54,3.9,3,54,0.048,0.01865,,,,,,,,,
1/1/2000 4:00,4,4,0,0.04941,0.02016,,,,,,,,,
1/1/2000 4:06,4.1,4,6,0.05084,0.0217,,,,,,,,,
1/1/2000 4:12,4.2,4,12,0.05229,0.02326,,,,,,,,,
1/1/2000 4:18,4.3,4,18,0.05376,0.02484,,,,,,,,,
1/1/2000 4:24,4.4,4,24,0.05525,0.02644,,,,,,,,,
1/1/2000 4:30,4.5,4,30,0.05676,0.02807,,,,,,,,,
1/1/2000 4:36,4.6,4,36,0.05829,0.02971,,,,,,,,,
1/1/2000 4:42,4.7,4,42,0.05984,0.03138,,,,,,,,,
1/1/2000 4:48,4.8,4,48,0.06141,0.03306,,,,,,,,,
1/1/2000 4:54,4.9,4,54,0.063,0.03477,,,,,,,,,
1/1/2000 5:00,5,5,0,0.06461,0.0365,,,,,,,,,
1/1/2000 5:06,5.1,5,6,0.06624,0.03826,,,,,,,,,
1/1/2000 5:12,5.2,5,12,0.06789,0.04003,,,,,,,,,
1/1/2000 5:18,5.3,5,18,0.06956,0.04182,,,,,,,,,
1/1/2000 5:24,5.4,5,24,0.07125,0.04364,,,,,,,,,
1/1/2000 5:30,5.5,5,30,0.07296,0.04548,,,,,,,,,
1/1/2000 5:36,5.6,5,36,0.07469,0.04734,,,,,,,,,
1/1/2000 5:42,5.7,5,42,0.07644,0.04922,,,,,,,,,
1/1/2000 5:48,5.8,5,48,0.07821,0.05112,,,,,,,,,
1/1/2000 5:54,5.9,5,54,0.08,0.05305,,,,,,,,,
1/1/2000 6:00,6,6,0,0.08181,0.05499,0.00215,,,,,,,,
1/1/2000 6:06,6.1,6,6,0.08364,0.05696,0.00433,,,,,,,,
1/1/2000 6:12,6.2,6,12,0.08549,0.05895,0.00653,,,,,,,,
1/1/2000 6:18,6.3,6,18,0.08736,0.06096,0.00875,,,,,,,,
1/1/2000 6:24,6.4,6,24,0.08925,0.06299,0.011,,,,,,,,
1/1/2000 6:30,6.5,6,30,0.09116,0.06504,0.01327,,,,,,,,
1/1/2000 6:36,6.6,6,36,0.09309,0.06712,0.01556,,,,,,,,
1/1/2000 6:42,6.7,6,42,0.09504,0.06921,0.01788,,,,,,,,
1/1/2000 6:48,6.8,6,48,0.09701,0.07133,0.02023,,,,,,,,
1/1/2000 6:54,6.9,6,54,0.099,0.07347,0.02259,,,,,,,,
1/1/2000 7:00,7,7,0,0.10101,0.07563,0.02498,,,,,,,,
1/1/2000 7:06,7.1,7,6,0.10304,0.07781,0.0274,,,,,,,,
1/1/2000 7:12,7.2,7,12,0.10509,0.08001,0.02983,,,,,,,,
1/1/2000 7:18,7.3,7,18,0.10716,0.08224,0.03229,,,,,,,,
1/1/2000 7:24,7.4,7,24,0.10925,0.08449,0.03478,,,,,,,,
1/1/2000 7:30,7.5,7,30,0.11136,0.08675,0.03729,,,,,,,,
1/1/2000 7:36,7.6,7,36,0.11349,0.08904,0.03982,,,,,,,,
1/1/2000 7:42,7.7,7,42,0.11564,0.09135,0.04238,,,,,,,,
1/1/2000 7:48,7.8,7,48,0.11781,0.09369,0.04496,,,,,,,,
1/1/2000 7:54,7.9,7,54,0.12,0.09604,0.04756,,,,,,,,
1/1/2000 8:00,8,8,0,0.12225,0.09846,0.05024,,,,,,,,
1/1/2000 8:06,8.1,8,6,0.1246,0.10099,0.05303,,,,,,,,
1/1/2000 8:12,8.2,8,12,0.12705,0.10362,0.05595,,,,,,,,
1/1/2000 8:18,8.3,8,18,0.1296,0.10636,0.05898,,,,,,,,
1/1/2000 8:24,8.4,8,24,0.13225,0.10921,0.06213,,,,,,,,
1/1/2000 8:30,8.5,8,30,0.135,0.11216,0.0654,,,,,,,,
1/1/2000 8:36,8.6,8,36,0.13785,0.11523,0.06879,,,,,,,,
1/1/2000 8:42,8.7,8,42,0.1408,0.1184,0.07229,,,,,,,,
1/1/2000 8:48,8.8,8,48,0.14385,0.12168,0.07592,,,,,,,,
1/1/2000 8:54,8.9,8,54,0.147,0.12506,0.07967,,,,,,,,
1/1/2000 9:00,9,9,0,0.1502,0.1285,0.08347,0.00446,,,,,,,
1/1/2000 9:06,9.1,9,6,0.1534,0.13194,0.08728,0.00899,,,,,,,
1/1/2000 9:12,9.2,9,12,0.1566,0.13538,0.09108,0.01352,,,,,,,
1/1/2000 9:18,9.3,9,18,0.1598,0.13882,0.09489,0.01804,,,,,,,
1/1/2000 9:24,9.4,9,24,0.163,0.14226,0.09869,0.02257,,,,,,,
1/1/2000 9:30,9.5,9,30,0.16628,0.14579,0.10259,0.0271,,,,,,,
1/1/2000 9:36,9.6,9,36,0.16972,0.14948,0.10668,0.03174,,,,,,,
1/1/2000 9:42,9.7,9,42,0.17332,0.15335,0.11096,0.03661,,,,,,,
1/1/2000 9:48,9.8,9,48,0.17708,0.1574,0.11543,0.04171,,,,,,,
1/1/2000 9:54,9.9,9,54,0.181,0.16161,0.1201,0.04703,,,,,,,
1/1/2000 10:00,10,10,0,0.18512,0.16604,0.12499,0.05257,,,,,,,
1/1/2000 10:06,10.1,10,6,0.18948,0.17072,0.13018,0.0584,,,,,,,
1/1/2000 10:12,10.2,10,12,0.19408,0.17567,0.13565,0.06458,,,,,,,
1/1/2000 10:18,10.3,10,18,0.19892,0.18087,0.1414,0.07108,,,,,,,
1/1/2000 10:24,10.4,10,24,0.204,0.18633,0.14744,0.07793,,,,,,,
1/1/2000 10:30,10.5,10,30,0.2094,0.19214,0.15386,0.08512,0.00908,,,,,,
